state_sub,State,Suburb,Count_of_listings,Average_Price,Average_Vehicle_Age,Postcode,Latitude,Longitude,Taxable_income_no.,Taxable_income,Total_work_related_car_expenses_no.,Total_work_related_car_expenses,Avg_Income,Avg_WR_car_expense
samount osmond,SA,Mount Osmond,1,36000,22,5064,-34.96,138.64,6505,562259636,1199,3183343,86434.994,2654.998332
viccardinia,VIC,Cardinia,1,36000,5,3978,-38.15,145.42,17138,971117561,6089,14075124,56664.57936,2311.565774
vicyan yean,VIC,Yan Yean,1,36000,6,3755,-37.57,145.14,143,8056068,42,114324,56336.13986,2722
nswlisarow,NSW,Lisarow,5,35990,12.2,2250,-33.11,151.14,39459,2324292966,9809,24115120,58904.00076,2458.468753
qldwoody point,QLD,Woody Point,1,35990,9,4019,-27.26,153.08,11251,620065793,2853,6894282,55112.06053,2416.502629
qldgreenmount,QLD,Greenmount,2,35950,10,4359,-27.79,152.02,742,36201096,162,359406,48788.53908,2218.555556
qldkangaroo point,QLD,Kangaroo Point,2,35870,11,4169,-27.48,153.05,10956,822118212,2277,5881305,75038.17196,2582.918314
vicfrankston,VIC,Frankston,258,35859,5.05,3199,-38.15,145.12,32036,1790292507,9229,23901517,55883.7716,2589.827392
qldpialba,QLD,Pialba,66,35840,5.74,4655,-25.35,152.89,30292,1477116842,6893,15024521,48762.60537,2179.678079
vicdeer park,VIC,Deer Park,233,35742,6.09,3023,-37.75,144.75,34925,1929053207,9499,23085820,55234.16484,2430.342141
nswbelmore,NSW,Belmore,31,35736,4.94,2192,-33.92,151.09,7486,373221929,1486,3891858,49855.98838,2619.016151
wasalter point,WA,Salter Point,2,35700,12,6152,-31.99,115.87,15668,1166817663,3359,7046591,74471.38518,2097.824055
wawelshpool,WA,Welshpool,598,35613,8.37,6106,-31.99,115.95,134,10790130,28,52867,80523.35821,1888.107143
nswdover heights,NSW,Dover Heights,17,35565,7.47,2030,-33.87,151.28,9741,1953135209,1345,4850946,200506.643,3606.651301
qldbooval,QLD,Booval,43,35546,4.3,4304,-27.63,152.8,8763,435621014,2016,4350818,49711.4018,2158.143849
nswkew,NSW,Kew,1,35500,2,2439,-31.66,152.68,1748,77549791,406,791969,44364.86899,1950.662562
nswocean shores,NSW,Ocean Shores,2,35500,8,2483,-28.5,153.53,6815,315245603,1520,3189657,46257.60866,2098.458553
qldwarner,QLD,Warner,1,35500,15,4500,-27.29,152.96,26319,1546202396,6844,15850104,58748.52373,2315.912332
saangle vale,SA,Angle Vale,1,35500,4,5117,-34.64,138.64,1948,109251690,584,1297042,56084.02977,2220.962329
saport adelaide,SA,Port Adelaide,1,35500,1,5015,-34.84,138.5,3590,202780914,1006,1909560,56484.93426,1898.170974
nswcharlestown,NSW,Charlestown,3,35497,13.33,2290,-33,151.69,19831,1222269136,5742,12964295,61634.26635,2257.801289
nswbundanoon,NSW,Bundanoon,2,35495,8,2578,-34.63,150.32,1533,81636695,257,588212,53252.89954,2288.762646
qldburleigh waters,QLD,Burleigh Waters,3,35467,13,4220,-28.09,153.45,20969,1373324388,6204,15633156,65493.07969,2519.851064
nswforresters beach,NSW,Forresters Beach,2,35450,7,2260,-33.43,151.41,15438,1064000512,4104,11239404,68920.87783,2738.646199
wakalamunda,WA,Kalamunda,29,35404,6.41,6076,-32.01,116.09,13561,926078758,2562,5236718,68289.85753,2043.996097
waburswood,WA,Burswood,5,35383,11,6100,-31.96,115.9,10127,689886424,2333,4752035,68123.47428,2036.877411
wamyaree,WA,Myaree,108,35366,8.57,6154,-32.03,115.81,6303,467092807,1275,2554574,74106.42662,2003.587451
wanorthbridge,WA,Northbridge,46,35310,3.74,6003,-31.94,115.87,2865,186500341,609,1229940,65096.10506,2019.605911
vickialla,VIC,Kialla,4,35115,5.5,3631,-36.54,145.36,7612,423330426,2246,5021995,55613.56096,2235.972841
vicbundoora,VIC,Bundoora,181,35084,4.97,3083,-37.7,145.07,18496,964700073,4549,10455305,52157.22713,2298.374368
actphillip,ACT,Phillip,366,35057,5.52,2606,-35.35,149.08,7189,546627373,1502,2842069,76036.63555,1892.189747
tashobart,TAS,Hobart,241,35008,5.91,7000,-42.87,147.33,9854,598926336,1503,2636038,60780.02192,1753.850965
actweston,ACT,Weston,1,35000,3,2611,-35.56,148.62,20581,1580143660,4560,8905794,76776.81648,1953.025
sablackwood,SA,Blackwood,1,35000,5,5051,-35.02,138.62,9478,608906900,2275,4602318,64244.23929,2022.996923
salower hermitage,SA,Lower Hermitage,1,35000,11,5131,-34.83,138.76,630,39196957,121,302216,62217.39206,2497.652893
saosborne,SA,Osborne,1,35000,10,5017,-34.8,138.49,2515,129959440,659,1237948,51673.7336,1878.525038
vicchirnside park,VIC,Chirnside Park,1,35000,11,3116,-37.75,145.33,7032,423059184,1920,5731385,60162,2985.096354
vicwonthaggi,VIC,Wonthaggi,1,35000,3,3995,-38.53,145.45,5545,248547224,1577,3113789,44823.66528,1974.501585
waburns beach,WA,Burns Beach,1,35000,7,6028,-31.73,115.72,15167,1076307732,3899,9107866,70963.78532,2335.949218
saold reynella,SA,Old Reynella,1,34999,19,5161,-35.09,138.54,5633,277628404,1578,2954523,49286.06497,1872.321293
wamaddington,WA,Maddington,359,34940,6.44,6109,-32.05,115.98,6619,340881881,1550,3030752,51500.5108,1955.323871
waedgewater,WA,Edgewater,193,34913,5.78,6027,-31.78,115.76,26699,1699354573,6379,13556856,63648.62253,2125.232168
nswsilverwater,NSW,Silverwater,57,34826,12.18,1811,-33.82,151.05,NULL,NULL,NULL,NULL,NULL,NULL
qldrothwell,QLD,Rothwell,17,34811,5.88,4022,-27.21,153.05,3506,170433943,838,1998721,48612.0773,2385.108592
sahawthorndene,SA,Hawthorndene,1,34750,10,5051,-35.02,138.62,9478,608906900,2275,4602318,64244.23929,2022.996923
nswmuswellbrook,NSW,Muswellbrook,2,34745,7.5,2333,-32.39,150.47,7296,490996085,2535,5395138,67296.61253,2128.259566
tasnorth hobart,TAS,North Hobart,65,34738,7.22,7000,-42.87,147.33,9854,598926336,1503,2636038,60780.02192,1753.850965
vicwarragul,VIC,Warragul,29,34727,5.34,3820,-38.21,145.96,10615,599487588,3012,6469677,56475.51465,2147.967131
ntdarwin,NT,Darwin,61,34671,6.2,800,-12.8,130.96,5214,362017451,1515,2674110,69431.80878,1765.089109
wapalmyra,WA,Palmyra,22,34626,4.41,6157,-32.03,115.78,8627,665910010,2037,4303874,77189.05877,2112.849288
nswtaree,NSW,Taree,111,34605,6.47,2430,-32.07,152.54,16826,782495704,3552,7609891,46505.15298,2142.424268
nswrosebery,NSW,Rosebery,25,34583,5.2,1445,-34.08,151.01,NULL,NULL,NULL,NULL,NULL,NULL
vicpascoe vale south,VIC,Pascoe Vale South,1,34500,5,3044,-37.73,144.94,17327,1134143551,4943,12444819,65455.27506,2517.665183
wabyford,WA,Byford,7,34500,12,6122,-32.22,116.01,11859,763692615,3515,6994838,64397.72451,1989.996586
wacanning vale,WA,Canning Vale,267,34358,6.11,6155,-32.06,115.92,31656,1945822532,7279,13647616,61467.73225,1874.930073
saclare,SA,Clare,7,34349,9.43,5453,-33.84,138.58,3072,166585825,758,1490222,54227.15658,1965.992084
actcanberra,ACT,Canberra,12,34289,9.42,2600,-35.31,149.14,5909,668405382,1062,2597163,113116.4972,2445.539548
vicchadstone,VIC,Chadstone,2,34245,9.5,3148,-37.89,145.08,5902,340887014,1583,3878663,57757.88106,2450.197726
sathebarton,SA,Thebarton,43,34241,5.84,5031,-34.93,138.56,6092,346076553,1407,2878069,56808.36392,2045.535892
wawebberton,WA,Webberton,4,34240,7.5,6530,-28.79,114.6,18848,1172207072,4156,8016279,62192.65025,1928.844803
vicnarre warren,VIC,Narre Warren,171,34175,4.57,3805,-38.02,145.3,32765,1718285165,9276,22266765,52442.70304,2400.470569
qldmansfield,QLD,Mansfield,47,34174,7.74,4122,-27.54,153.1,27624,1612322244,6015,13105473,58366.71894,2178.798504
actyarralumla,ACT,Yarralumla,3,34167,7,2600,-35.31,149.14,5909,668405382,1062,2597163,113116.4972,2445.539548
vicswan hill,VIC,Swan Hill,51,34148,6.1,3585,-35.42,143.59,6998,370690883,1653,3145484,52970.97499,1902.894132
qldbiloela,QLD,Biloela,81,34147,7.53,4715,-24.4,150.51,4107,276188020,782,1376769,67248.11785,1760.574169
nswfive dock,NSW,Five Dock,222,34088,11.1,2046,-33.85,151.13,16984,1519545498,3851,12416026,89469.23563,3224.104388
qldhermit park,QLD,Hermit Park,23,34050,7.22,4812,-19.27,146.78,10325,604140521,2524,4712299,58512.39913,1866.996434
nswbudgewoi,NSW,Budgewoi,1,34000,5,2262,-33.21,151.49,10341,519942818,3354,8103235,50279.74258,2415.991354
nswtoronto,NSW,Toronto,1,34000,10,2283,-33.06,151.58,13332,770457855,3521,8420686,57790.11814,2391.56092
qldnorth mackay,QLD,North Mackay,1,34000,7,4740,-21.16,149.1,50520,3481267392,12659,29733798,68908.69739,2348.826764
qldsilkstone,QLD,Silkstone,2,34000,3,4304,-27.63,152.8,8763,435621014,2016,4350818,49711.4018,2158.143849
saashford,SA,Ashford,2,34000,13,5035,-34.95,138.57,3943,226865881,844,1831954,57536.36343,2170.561611
sapara hills,SA,Para Hills,1,34000,4,5096,-34.79,138.67,7555,377548608,1837,3691030,49973.34322,2009.27055
vicpoint lonsdale,VIC,Point Lonsdale,1,34000,4,3225,-38.29,144.61,2947,183648152,601,1495348,62316.98405,2488.099834
qldtownsville,QLD,Townsville,209,33962,5.68,4810,-19.25,146.8,13823,1001174294,3383,6627647,72428.1483,1959.103458
wawanneroo,WA,Wanneroo,58,33958,6.05,6065,-31.73,115.79,39780,2460735399,10694,22878017,61858.60732,2139.332055
taswest hobart,TAS,West Hobart,5,33892,19.8,7000,-42.87,147.33,9854,598926336,1503,2636038,60780.02192,1753.850965
qlddalby,QLD,Dalby,27,33864,7.3,4405,-27.19,151.4,8082,434062060,2011,4490309,53707.2581,2232.873695
vicwantirna,VIC,Wantirna,66,33725,5.42,3152,-37.87,145.24,21563,1218951536,5192,12272953,56529.77489,2363.819915
nswtuggerah,NSW,Tuggerah,101,33720,6.21,2259,-33.27,151.4,32938,1770191812,9960,24880320,53743.1481,2498.024096
qldaspley,QLD,Aspley,126,33658,8.4,4034,-27.36,153.02,28171,1660082942,6145,13365371,58928.78996,2174.999349
nswmcgraths hill,NSW,Mcgraths Hill,83,33651,7.51,2756,-33.64,150.79,20841,1290573160,5715,15213129,61924.72338,2661.964829
qldwarwick,QLD,Warwick,55,33598,5.76,4370,-28.2,151.95,9986,455418927,2346,3908500,45605.74074,1666.02728
nswulladulla,NSW,Ulladulla,33,33597,7.45,2539,-35.52,150.39,10096,450072912,2395,4878274,44579.32964,2036.85762
nswcoffs harbour,NSW,Coffs Harbour,127,33589,6.87,2450,-30.34,153.07,25613,1332796642,5957,12630174,52035.94433,2120.223938
wawaterford,WA,Waterford,1,33550,8,6152,-31.99,115.87,15668,1166817663,3359,7046591,74471.38518,2097.824055
saburton,SA,Burton,51,33532,5.65,5110,-34.77,138.59,4411,215977394,1176,2208382,48963.36296,1877.87585
vicbentleigh east,VIC,Bentleigh East,29,33507,6.28,3165,-37.93,145.06,17178,1166392032,4587,12739510,67900.3395,2777.307608
nswashfield,NSW,Ashfield,2,33500,10.5,1800,-34.1,150.78,NULL,NULL,NULL,NULL,NULL,NULL
nswyagoona,NSW,Yagoona,1,33500,5,2199,-33.91,151.03,8845,427901335,1865,4862378,48377.7654,2607.17319
samclaren vale,SA,Mclaren Vale,1,33500,3,5171,-35.16,138.59,3746,211174114,835,1902253,56373.22851,2278.147305
qldalbion,QLD,Albion,14,33496,9.5,4010,-27.43,153.05,2631,181756469,665,1709965,69082.6564,2571.37594
sasalisbury heights,SA,Salisbury Heights,2,33450,14,5109,-34.77,138.66,10621,521509386,2526,4978974,49101.72168,1971.090261
vicnarre warren north,VIC,Narre Warren North,2,33450,7.5,3804,-37.97,145.36,5423,391103085,1374,3947006,72119.32233,2872.63901
vicshepparton,VIC,Shepparton,83,33432,8.45,3630,-36.36,145.4,17060,853896485,4862,9434247,50052.54894,1940.404566
nswpenrith,NSW,Penrith,258,33426,7.39,2750,-33.74,150.65,26901,1615181205,7513,18813960,60041.67893,2504.187408
vicwallan,VIC,Wallan,4,33425,7.75,3756,-37.4,144.8,7954,452544684,2636,6930078,56895.23309,2629.012898
nswgoulburn,NSW,Goulburn,111,33424,6.07,2580,-34.44,149.96,16504,911344213,4264,8605796,55219.59604,2018.244841
qldcairns,QLD,Cairns,192,33335,6.01,4870,-16.88,145.75,43952,2553587983,10251,19130129,58099.47176,1866.171983
saparalowie,SA,Paralowie,3,33333,10,5108,-34.76,138.61,20378,933190640,4838,9315727,45794.02493,1925.532658
wawonthella,WA,Wonthella,3,33323,6.33,6530,-28.79,114.6,18848,1172207072,4156,8016279,62192.65025,1928.844803
nswnorth strathfield,NSW,North Strathfield,45,33295,8.91,2137,-33.84,151.11,17718,1425836627,3683,12061533,80473.90377,3274.920717
nswrutherford,NSW,Rutherford,56,33286,6.84,2320,-32.69,151.53,20453,1291903317,6335,14494305,63164.49015,2287.972376
vicparkdale,VIC,Parkdale,2,33250,7,3195,-38.03,145.1,22929,1603774842,6538,17885005,69945.25893,2735.546803
qldsalisbury,QLD,Salisbury,145,33231,5.14,4107,-27.54,153.03,4134,239471874,1001,2187586,57927.40058,2185.400599
qldeagle farm,QLD,Eagle Farm,156,33194,6.52,4009,-27.43,153.09,91,7924630,10,43452,87083.84615,4345.2
wacannington,WA,Cannington,346,33171,6.4,6107,-32.01,115.96,27172,1403074340,6662,12060242,51636.77094,1810.303512
nswgrafton,NSW,Grafton,25,33081,5.36,2460,-29.05,152.59,14649,692800556,3346,6697436,47293.36856,2001.624626
qldspringwood,QLD,Springwood,294,33022,7.11,4127,-27.64,153.15,15153,821010018,3747,8660234,54181.35142,2311.244729
actcook,ACT,Cook,2,33000,7,2614,-35.26,149.08,13029,936259236,2450,4531586,71859.63896,1849.626939
nswalfords point,NSW,Alfords Point,2,33000,5.5,2234,-33.99,151.02,20135,1434698757,5315,15989244,71253.97353,3008.324365
safindon,SA,Findon,1,33000,8,5023,-34.91,138.53,9616,487567851,2501,4795005,50703.81146,1917.235106
sasalisbury downs,SA,Salisbury Downs,3,33000,5.67,5108,-34.76,138.61,20378,933190640,4838,9315727,45794.02493,1925.532658
tasaustins ferry,TAS,Austins Ferry,3,33000,5.67,7011,-42.77,147.24,8182,398528389,1902,3486911,48707.94292,1833.28654
vicmount evelyn,VIC,Mount Evelyn,1,33000,5,3796,-37.79,145.38,5914,333334683,1659,4639944,56363.65962,2796.831826
vicpoint leo,VIC,Point Leo,1,33000,6,3916,-38.39,145.09,651,54945821,134,342557,84402.1828,2556.395522
nswbossley park,NSW,Bossley Park,1,32999,4,2176,-33.88,150.87,24430,1339124298,5791,14594126,54814.74818,2520.139181
qldmacgregor,QLD,Macgregor,5,32994,10.8,4109,-27.57,153.08,23587,1128909425,4003,8284285,47861.50952,2069.519111
nswoatley,NSW,Oatley,2,32990,8.5,2223,-33.97,151.08,13814,1022872626,2635,6852828,74046.08557,2600.693738
vicferntree gully,VIC,Ferntree Gully,217,32962,5.72,3156,-37.88,145.3,23656,1409759242,6417,17042859,59594.15125,2655.892006
qldeverton hills,QLD,Everton Hills,35,32959,7.94,4053,-27.41,152.98,28892,1878916036,7467,16881268,65032.39776,2260.783179
vichillside,VIC,Hillside,2,32950,7,3037,-37.72,144.78,29261,1664345860,8719,22061661,56879.32265,2530.297167
wagosnells,WA,Gosnells,71,32930,6,6110,-32.07,116,23429,1317334977,5850,11155021,56226.6839,1906.841197
sareynella,SA,Reynella,65,32913,4.46,5161,-35.09,138.54,5633,277628404,1578,2954523,49286.06497,1872.321293
nswqueanbeyan west,NSW,Queanbeyan West,1,32900,2,2620,-35.58,149.23,26665,1890512054,7129,14385758,70898.63319,2017.920887
qldburpengary,QLD,Burpengary,5,32898,6.4,4505,-27.17,152.95,13469,730208190,3658,9317508,54213.98693,2547.159103
nswgirraween,NSW,Girraween,1,32880,8,2145,-33.8,150.95,48497,2901032523,10361,24034163,59818.8037,2319.675997
nswroseville,NSW,Roseville,4,32856,5.75,2069,-33.78,151.2,9813,1199615695,1373,4192518,122247.5996,3053.545521
qldvirginia,QLD,Virginia,28,32817,10.14,4014,-27.38,153.08,8065,535439927,2151,4858072,66390.56751,2258.517899
tascamdale,TAS,Camdale,83,32731,6.84,7320,-41.07,145.89,8924,478142070,2184,4289647,53579.34446,1964.124084
vicheidelberg,VIC,HEIDELBERG,38,32709,4.68,3084,-37.74,145.09,16627,1263235145,3894,9953901,75974.92903,2556.214946
vicwangaratta,VIC,Wangaratta,40,32669,5.58,3676,-36.34,146.34,195,10524340,43,94976,53970.97436,2208.744186
nswsouth hurstville,NSW,South Hurstville,38,32660,5.66,2221,-33.99,151.11,10572,801585850,2081,6616121,75821.59005,3179.298895
vicballarat,VIC,Ballarat,216,32617,7.4,3350,-37.56,143.82,35916,2117044595,11385,23834450,58944.33108,2093.495828
nswsingleton,NSW,Singleton,57,32555,6.21,2330,-32.51,150.86,11938,840770829,3824,8021121,70428.11434,2097.573483
viccarnegie,VIC,Carnegie,11,32545,11.27,3163,-37.89,145.06,21609,1438645011,4845,11115912,66576.19561,2294.305882
vicgardenvale,VIC,Gardenvale,7,32534,6.29,3185,-37.88,145,9095,812895397,2121,5901467,89378.27345,2782.398397
vicsebastopol,VIC,Sebastopol,42,32512,5.14,3356,-37.59,143.83,7846,362793828,2642,5166400,46239.33571,1955.488266
nswnorth arm cove,NSW,North Arm Cove,2,32500,11.5,2324,-32.67,151.81,12584,640631828,3222,7191686,50908.44151,2232.056487
qldmaleny,QLD,Maleny,1,32500,6,4552,-26.78,152.89,5262,255094307,809,1937890,48478.58362,2395.414091
vicnewborough,VIC,Newborough,2,32500,13.5,3825,-37.7,146.36,10205,548689924,3149,6012978,53766.77354,1909.488091
waharrisdale,WA,Harrisdale,2,32500,5.5,6112,-32.15,116.01,36555,2200943795,10073,19666136,60209.10395,1952.361362
wagreenfields,WA,Greenfields,84,32480,5.77,6210,-32.55,115.75,39506,2402379775,9523,18502712,60810.5041,1942.949911
qldmackay,QLD,Mackay,184,32366,6.78,4740,-21.16,149.1,50520,3481267392,12659,29733798,68908.69739,2348.826764
actbelconnen,ACT,Belconnen,137,32343,4.76,2616,-35.25,149.07,141,10540741,26,58218,74757.02837,2239.153846
qldpalm beach,QLD,Palm Beach,5,32300,7.6,4221,-28.14,153.47,17306,995389298,4891,12145440,57517.00555,2483.222245
nswheatherbrae,NSW,Heatherbrae,23,32296,6.35,2324,-32.67,151.81,12584,640631828,3222,7191686,50908.44151,2232.056487
nswgosford,NSW,Gosford,18,32289,7.44,2250,-33.11,151.14,39459,2324292966,9809,24115120,58904.00076,2458.468753
viclaverton north,VIC,Laverton North,186,32235,12.23,3026,-37.84,144.8,1632,95168382,399,877153,58313.95956,2198.378446
nswnorth richmond,NSW,North Richmond,2,32200,6.5,2754,-33.58,150.72,3670,215153150,939,2384579,58624.83651,2539.487753
qldelanora,QLD,Elanora,3,32189,5.67,4221,-28.14,153.47,17306,995389298,4891,12145440,57517.00555,2483.222245
qldgriffin,QLD,Griffin,4,32175,5.75,4503,-27.23,152.98,28504,1558973478,7581,17696227,54693.14756,2334.286638
qldgladstone,QLD,Gladstone,139,32173,8.79,4680,-23.86,151.27,29497,2007697656,7889,15232713,68064.46947,1930.880086
nswnarellan,NSW,Narellan,54,32160,6.37,2567,-34.05,150.76,24145,1561379727,7962,22023007,64666.79341,2766.014444
nswrichmond,NSW,Richmond,34,32109,7.09,2753,-33.62,150.71,10134,612531073,2561,6484000,60443.16884,2531.823506
wafremantle,WA,Fremantle,49,32083,8.2,6160,-32.04,115.76,5789,459087875,1216,2471874,79303.48506,2032.791118
nswguildford,NSW,Guildford,44,32065,5.16,1848,-33.85,150.97,NULL,NULL,NULL,NULL,NULL,NULL
vicmoorabbin,VIC,Moorabbin,423,32052,8.15,3189,-37.93,145.04,3997,253101331,1057,2656557,63322.82487,2513.298959
actgungahlin,ACT,Gungahlin,36,32010,5.06,2912,-35.52,149.08,4882,295600043,1120,2056860,60548.96415,1836.482143
nswglenfield park,NSW,Glenfield Park,3,32006,11.67,2650,-35.16,147.51,34174,2004198976,8012,15166457,58646.8946,1892.967673
nswdavidson,NSW,Davidson,1,32000,8,2085,-33.74,151.21,7293,563990891,1510,4712475,77333.18127,3120.844371
nswst peters,NSW,St Peters,2,32000,9.5,2044,-33.91,151.18,5522,394419176,1036,2606966,71426.86997,2516.376448
qldfernvale,QLD,Fernvale,2,32000,6,4306,-27.64,152.7,23361,1412177154,6923,16193010,60450.20136,2339.016322
qldnewtown,QLD,Newtown,1,32000,7,4305,-27.6,152.77,33731,1775831523,9142,19205205,52646.86855,2100.766244
vichurstbridge,VIC,Hurstbridge,1,32000,2,3099,-37.59,145.22,3081,193035332,876,2178651,62653.46706,2487.044521
wawinthrop,WA,Winthrop,1,32000,10,6150,-32.06,115.84,8297,540091559,1454,2783345,65094.80041,1914.267538
qldboondall,QLD,Boondall,2,31995,4.5,4034,-27.36,153.02,28171,1660082942,6145,13365371,58928.78996,2174.999349
vicviewbank,VIC,Viewbank,1,31990,3,3084,-37.74,145.09,16627,1263235145,3894,9953901,75974.92903,2556.214946
waclarkson,WA,Clarkson,114,31974,6.04,6030,-31.68,115.72,23586,1440816036,6153,13264593,61087.76545,2155.792784
viceuroa,VIC,Euroa,2,31950,3,3666,-36.71,145.64,2713,124006089,572,1329863,45708.10505,2324.935315
nswwagga wagga,NSW,Wagga Wagga,29,31899,9.83,2650,-35.16,147.51,34174,2004198976,8012,15166457,58646.8946,1892.967673
qldbundaberg,QLD,Bundaberg,54,31886,6.24,4670,-24.84,152.02,41871,2160860076,8656,18846223,51607.55836,2177.243877
nswnewcastle,NSW,Newcastle,10,31840,14.4,2300,-32.94,151.77,7788,690028050,1919,4643698,88601.44453,2419.853048
vicblackburn,VIC,Blackburn,30,31834,7.47,3130,-37.82,145.15,20261,1339362217,4474,10502779,66105.43492,2347.514305
qldeverton park,QLD,Everton Park,4,31825,9.5,4053,-27.41,152.98,28892,1878916036,7467,16881268,65032.39776,2260.783179
sapara hills west,SA,Para Hills West,34,31812,4.82,5096,-34.79,138.67,7555,377548608,1837,3691030,49973.34322,2009.27055
tasbrighton,TAS,Brighton,2,31750,13.5,7030,-42.42,147.14,9321,460339700,2323,4677774,49387.3726,2013.678003
vicsunbury,VIC,Sunbury,77,31743,5.82,3429,-37.58,144.73,23054,1388757465,7710,19135484,60239.32788,2481.90454
nswvillawood,NSW,Villawood,79,31716,12.57,2163,-33.88,150.96,4108,181646324,791,1837987,44217.70302,2323.624526
vicbendigo,VIC,Bendigo,107,31665,9.36,3550,-36.76,144.28,23338,1288816040,6163,11724117,55223.92836,1902.339283
saelizabeth,SA,Elizabeth,57,31623,5.42,5112,-34.71,138.67,8156,369361922,1899,3526813,45287.141,1857.194839
nswliverpool,NSW,Liverpool,196,31597,7.23,1871,-33.89,151.1,71,3973368,19,73000,55962.92958,3842.105263
nswbrookvale,NSW,Brookvale,160,31569,7.28,2100,-33.77,151.25,14442,1153936454,3100,9349648,79901.43013,3016.015484
nswkingswood,NSW,Kingswood,93,31551,6.05,2340,-30.96,150.83,28895,1518751775,6922,13471438,52561.05814,1946.177116
qldwishart,QLD,Wishart,4,31550,7.5,4122,-27.54,153.1,27624,1612322244,6015,13105473,58366.71894,2178.798504
qldnorth rockhampton,QLD,North Rockhampton,40,31537,6.28,4701,-23.36,150.52,23502,1394032542,4552,9192789,59315.48558,2019.505492
nswwarilla,NSW,Warilla,2,31500,6,2528,-34.57,150.86,11499,606925519,4038,8769234,52780.72171,2171.677563
vicrosedale,VIC,Rosedale,2,31500,14,3847,-38.26,146.75,1184,59980739,357,743189,50659.40794,2081.761905
vicsouth morang,VIC,SOUTH MORANG,109,31436,5.65,3752,-37.65,145.1,14477,824897957,4633,11819138,56979.89618,2551.076624
sanaracoorte,SA,Naracoorte,11,31403,7.18,5271,-37.14,140.72,4888,259468977,1065,2218530,53082.85127,2083.126761
tasderwent park,TAS,Derwent Park,178,31403,7.43,7009,-42.84,147.29,7861,367958712,1523,2648103,46808.13026,1738.7413
actfyshwick,ACT,Fyshwick,253,31360,9.38,2609,-35.3,149.19,585,41895143,140,270441,71615.62906,1931.721429
vicdandenong south,VIC,Dandenong South,30,31353,7.6,3164,-38.02,145.24,66,4070938,11,22616,61680.87879,2056
nswshoalhaven heads,NSW,Shoalhaven Heads,2,31350,12,2535,-34.85,150.68,4220,252492848,986,2117601,59832.42844,2147.668357
nswgunnedah,NSW,Gunnedah,2,31250,7,2380,-30.8,150.2,5815,348934549,1276,2740804,60005.94136,2147.965517
nswlithgow,NSW,Lithgow,26,31226,6.19,2790,-33.22,150.02,7507,431820919,1557,3074460,57522.43493,1974.60501
nswcondell park,NSW,Condell Park,15,31161,9.2,2200,-33.92,151.03,23015,1093722489,4450,10434026,47522.15898,2344.724944
saedwardstown,SA,Edwardstown,44,31159,8.75,5039,-34.97,138.58,5304,288693624,1270,2528736,54429.41629,1991.130709
qldacacia ridge,QLD,Acacia Ridge,105,31149,6.7,4110,-27.59,153.03,7633,399290443,1905,3939094,52311.07599,2067.765879
qldyamanto,QLD,Yamanto,28,31133,7.07,4305,-27.6,152.77,33731,1775831523,9142,19205205,52646.86855,2100.766244
ntberrimah,NT,Berrimah,132,31102,7.25,828,-12.47,130.91,805,59985626,222,411914,74516.30559,1855.468468
nswsandgate,NSW,Sandgate,10,31095,9.2,2304,-32.88,151.75,8639,481682840,2493,4976308,55756.78203,1996.112314
nswnorth gosford,NSW,North Gosford,22,31048,7.64,2250,-33.11,151.14,39459,2324292966,9809,24115120,58904.00076,2458.468753
qldhillcrest,QLD,Hillcrest,77,31038,5.83,4118,-27.66,153.04,17799,933881550,4771,10817125,52468.20327,2267.265772
sawayville,SA,Wayville,40,31007,6.35,5034,-34.96,138.59,6566,506897449,1345,2926125,77200.34252,2175.557621
sanorthgate,SA,Northgate,1,31000,8,5085,-34.86,138.62,12616,669753452,3198,6162720,53087.62302,1927.054409
qldparrearra,QLD,Parrearra,1,30999,4,4575,-26.75,153.12,16581,1033203247,4085,10455664,62312.48097,2559.526071
qldgarbutt,QLD,Garbutt,224,30973,6.92,4814,-19.3,146.76,25296,1530437801,6571,11668993,60501.17809,1775.832141
vicmildura,VIC,Mildura,4,30962,4.75,3500,-34.18,142.16,17306,873984604,4617,9498477,50501.82619,2057.283301
wajane brook,WA,Jane Brook,2,30950,9.5,6056,-31.8,116.03,23133,1373563518,5315,10181927,59376.80016,1915.696519
samile end,SA,Mile End,162,30861,7.66,5031,-34.93,138.56,6092,346076553,1407,2878069,56808.36392,2045.535892
qldkedron,QLD,Kedron,340,30851,6.37,4031,-27.41,153.03,8953,649137781,2167,5062961,72505.05763,2336.391786
nswwaitara,NSW,Waitara,40,30785,6.1,2077,-33.69,151.11,26471,1712212483,4464,9641020,64682.57652,2159.726703
nswkirrawee,NSW,Kirrawee,45,30768,6.42,2232,-34.08,151.06,20926,1440392734,4958,13053407,68832.68346,2632.796894
sacheltenham,SA,Cheltenham,62,30763,4.97,5014,-34.88,138.52,6858,360256918,1840,3333435,52530.90085,1811.649457
sagawler,SA,Gawler,158,30753,5.09,5118,-34.64,138.77,10899,603350170,2992,6071098,55358.30535,2029.110294
nswyamba,NSW,Yamba,2,30750,6,2464,-29.48,153.36,3763,185309564,746,1613488,49245.16715,2162.852547
nswgriffith,NSW,Griffith,11,30713,7.18,2680,-34.26,146.1,15520,846975999,3024,5877963,54573.19581,1943.770833
