Sub_code,State Abrev,Postcode,Taxable income no.,Taxable income,Total work related car expenses no.,Total work related car expenses,Avg Income,Avg WR car expense
WA6251,WA,6251,213,11533602,28,75980,54148.3662,2713.571429
WA6252,WA,6252,70,3759952,11,49752,53713.6,4522.909091
WA6253,WA,6253,399,17846754,48,110977,44728.70677,2312.020833
WA6254,WA,6254,263,16872343,36,93014,64153.39544,2583.722222
WA6255,WA,6255,2396,132363745,369,672517,55243.63314,1822.539295
WA6256,WA,6256,132,7756502,20,34354,58761.37879,1717.7
WA6258,WA,6258,3841,189004071,624,1397790,49206.99583,2240.048077
WA6260,WA,6260,898,42582894,132,213669,47419.70379,1618.704545
WA6262,WA,6262,404,17625119,64,162752,43626.53218,2543
WA6271,WA,6271,1919,109820568,427,871914,57228.01876,2041.953162
WA6275,WA,6275,837,39171999,146,247524,46800.4767,1695.369863
WA6280,WA,6280,17184,941803036,3613,7158258,54806.9737,1981.250484
WA6281,WA,6281,5341,321967398,1095,2515853,60282.23142,2297.582648
WA6282,WA,6282,983,62322662,150,419473,63400.46999,2796.486667
WA6284,WA,6284,1700,94606222,385,766145,55650.71882,1989.987013
WA6285,WA,6285,6703,350299912,1469,2858232,52260.16888,1945.699115
WA6286,WA,6286,465,21471175,74,119228,46174.56989,1611.189189
WA6288,WA,6288,390,16604130,57,100488,42574.69231,1762.947368
WA6290,WA,6290,994,43318204,138,264540,43579.68209,1916.956522
WA6302,WA,6302,1985,114044964,314,668562,57453.38237,2129.178344
WA6304,WA,6304,909,57903552,113,200772,63700.27723,1776.743363
WA6306,WA,6306,595,39010192,85,158075,65563.3479,1859.705882
WA6308,WA,6308,900,58305973,148,316158,64784.41444,2136.202703
WA6309,WA,6309,179,13089014,27,54123,73122.98324,2004.555556
WA6311,WA,6311,316,18736456,60,92776,59292.58228,1546.266667
WA6312,WA,6312,2536,146358845,462,888753,57712.47831,1923.707792
WA6313,WA,6313,122,8668248,20,39157,71051.21311,1957.85
WA6315,WA,6315,1219,64893848,309,591081,53235.31419,1912.883495
WA6316,WA,6316,210,15718091,30,52641,74848.05238,1754.7
WA6317,WA,6317,2324,122372542,363,704536,52655.99914,1940.870523
WA6318,WA,6318,296,18153025,43,75371,61327.78716,1752.813953
WA6320,WA,6320,353,20077222,47,65044,56875.983,1383.914894
WA6321,WA,6321,292,13854297,46,100782,47446.2226,2190.913043
WA6322,WA,6322,125,8071602,11,17399,64572.816,1581.727273
WA6323,WA,6323,578,26083264,119,224123,45126.75433,1883.386555
WA6324,WA,6324,2094,100426618,383,765414,47959.22541,1998.469974
WA6326,WA,6326,348,14982054,60,120746,43051.87931,2012.433333
WA6327,WA,6327,125,4857124,15,30625,38856.992,2041.666667
WA6328,WA,6328,283,12593466,54,105123,44499.87986,1946.722222
WA6330,WA,6330,21183,1121888786,4409,8165181,52961.75169,1851.934906
WA6331,WA,6331,367,19192525,75,126073,52295.70845,1680.973333
WA6332,WA,6332,126,7432794,22,82151,58990.42857,3734.136364
WA6333,WA,6333,3554,162825329,540,982787,45814.6677,1819.975926
WA6335,WA,6335,448,32918065,87,212767,73477.82366,2445.597701
WA6336,WA,6336,207,11549908,38,88606,55796.657,2331.736842
WA6337,WA,6337,405,23701507,73,148329,58522.23951,2031.90411
WA6338,WA,6338,454,26860522,62,147360,59164.14537,2376.774194
WA6341,WA,6341,167,12764472,20,52839,76433.96407,2641.95
WA6343,WA,6343,142,8661976,18,38972,60999.83099,2165.111111
