Row Labels,Count of Suburb,Average of Price,Average of Vehicle Age
nswburwood,21,56950.47619,8.523809524
nswcabramatta,63,16290.53968,10.82539683
nswcalderwood,1,60000,9
nswcamden,83,11889.66265,12.28915663
nswcamden park,1,75000,4
nswcameron park,2,18750,7
nswcammeray,1,24750,12
nswcampbelltown,224,24363.71429,10.66071429
nswcampsie,2,23995,6.5
nswcanada bay,2,24624,13
nswcanley heights,1,56777,3
nswcanley vale,14,9946.571429,13.28571429
nswcanowindra,1,42000,3
nswcanterbury,3,6960,17.66666667
nswcardiff,319,21681.52215,8.724137931
nswcardiff hyundai used carscardiff,6,30887.83333,3.333333333
nswcaringbah,37,50195.40541,7.054054054
nswcaringbah south,1,11995,8
nswcarlingford,6,28450,8.166666667
nswcarlton,2,12750,16
nswcarramar,1,10800,14
nswcasino,2,18245,9
nswcastle cove,1,29750,20
nswcastle hill,261,36413.88934,6.37164751
nswcasuarina,1,11500,17
nswcasula,3,17496.66667,6
nswcasula mall,1,9900,8
nswcaves beach,1,41990,9
nswcawdor,1,11000,11
nswcecil hills,1,59880,5
nswcessnock,64,37060.15625,6.734375
nswcharlestown,3,35496.66667,13.33333333
nswchatswood,150,47722.94667,5.513333333
nswcheltenham,2,42725,5.5
nswcherrybrook,3,17130,12.33333333
nswchester hill,1,28500,14
nswchipping norton,49,57775.10204,17.12244898
nswchisholm,2,62500,6
nswchittaway bay,1,13000,14
nswchullora,85,47148.21429,4.929411765
nswclarence,1,1500,14
nswclemton park,3,20766.66667,7.666666667
nswclothiers creek,1,89000,6
nswclyde,58,24665.66667,11.12068966
nswcobbitty,2,24000,12.5
nswcoffs harbour,127,33589.0873,6.866141732
nswcoffs harbour jetty,1,4800,15
nswcoffs harbour plaza,1,7750,12
nswcoledale,1,21500,8
nswcollaroy,1,11999,13
nswconcord,71,42659.40845,10.04225352
nswconcord west,1,20900,8
nswcondell park,15,31160.66667,9.2
nswconiston,1,7990,15
nswcoogee,4,16997.5,14.5
nswcoolamon,2,11500,11.5
nswcoolatai,1,7899,12
nswcooma,3,12850,12
nswcoonamble,1,26000,10
nswcooranbong,1,118000,4
nswcorlette,1,27000,5
nswcorowa,3,17000,7.666666667
nswcorrimal,1,27000,6
nswcranebrook,3,43663.33333,7
nswcremorne point,1,4500,18
nswcromer,4,37374.75,7.5
nswcronulla,3,28496.66667,5
nswcrookwell,22,29809.09091,6.636363636
nswcroydon,105,29841.19048,8.885714286
nswcroydon park,2,38375,6.5
nswcudgen,1,29000,8
nswdapto,30,23982.36667,9.9
nswdarling point,1,26800,5
nswdavidson,1,32000,8
nswdawes point,1,11800,10
nswdee why,2,12850,10.5
nswdenham court,1,3000,22
nswdeniliquin,1,12500,12
nswdoonside,2,13000,8.5
nswdover heights,17,35564.70588,7.470588235
nswdubbo,101,29640.87129,8.346534653
nswdulwich hill,3,11333.33333,11
nswdunbogan,1,65375,2
nsweagle vale,1,15000,10
nswearlwood,3,20966.66667,17.66666667
nsweast ballina,1,19990,7
nsweast hills,2,7325,16.5
nsweast killara,1,19000,4
nsweast lismore,1,4800,21
nsweast maitland,178,27558.34831,6.870786517
nsweastern creek,13,22943.84615,12.23076923
nsweastgardens,2,24000,6.5
nsweastlakes,1,9700,17
nsweastwood,1,3000,16
nswebenezer,1,18000,11
nsweden,1,26000,9
nswedensor park,3,16833.33333,14
nswedgeworth,30,15444.3,12.36666667
nswedmondson park,1,165000,4
nswelanora heights,3,17833.33333,12
nsweleebana,1,13500,8
nswemerald beach,1,9000,14
nswemerton,1,42000,19
nswempire bay,1,14500,7
nswengadine,2,23745,7
nswenmore,1,7100,9
nswerina,16,36542.4375,8
nswermington,4,25094.5,8
nswerskineville,1,14000,7
nsweschol park,1,107000,1
nswevans head,1,12900,12
nswfairfield,1,30000,10
nswfairfield east,1,26000,6
nswfairfield west,1,12000,11
